# ratings.txt
User;Название;Жанр;Рейтинг
Иван;Побег из Шоушенка;драма;9.3
Иван;Крёстный отец;криминал;9.2
Иван;Тёмный рыцарь;боевик;9.0
Иван;Список Шиндлера;драма;8.9
Иван;Начало;боевик;8.8
Иван;Матрица;боевик;8.7
Иван;Форрест Гамп;драма;8.8
Иван;Один дома;комедия;7.6
Иван;Интерстеллар;фантастика;8.6
Иван;Назад в будущее;фантастика;8.5

Ольга;Побег из Шоушенка;драма;9.1
Ольга;Крёстный отец;криминал;9.3
Ольга;Тёмный рыцарь;боевик;8.8
Ольга;Список Шиндлера;драма;9.0
Ольга;Начало;боевик;8.7
Ольга;Матрица;боевик;8.9
Ольга;Форрест Гамп;драма;8.7
Ольга;Один дома;комедия;7.8
Ольга;Интерстеллар;фантастика;8.5
Ольга;Назад в будущее;фантастика;8.6

Сергей;Побег из Шоушенка;драма;9.0
Сергей;Крёстный отец;криминал;9.1
Сергей;Тёмный рыцарь;боевик;9.2
Сергей;Список Шиндлера;драма;8.7
Сергей;Начало;боевик;8.9
Сергей;Матрица;боевик;8.5
Сергей;Форрест Гамп;драма;8.9
Сергей;Один дома;комедия;7.5
Сергей;Интерстеллар;фантастика;8.7
Сергей;Назад в будущее;фантастика;8.4

Мария;Побег из Шоушенка;драма;9.2
Мария;Крёстный отец;криминал;9.0
Мария;Тёмный рыцарь;боевик;9.1
Мария;Список Шиндлера;драма;8.8
Мария;Начало;боевик;8.6
Мария;Матрица;боевик;8.8
Мария;Форрест Гамп;драма;8.8
Мария;Один дома;комедия;7.7
Мария;Интерстеллар;фантастика;8.4
Мария;Назад в будущее;фантастика;8.7

Дмитрий;Побег из Шоушенка;драма;9.3
Дмитрий;Крёстный отец;криминал;9.2
Дмитрий;Тёмный рыцарь;боевик;8.9
Дмитрий;Список Шиндлера;драма;9.1
Дмитрий;Начало;боевик;8.8
Дмитрий;Матрица;боевик;8.6
Дмитрий;Форрест Гамп;драма;8.9
Дмитрий;Один дома;комедия;7.9
Дмитрий;Интерстеллар;фантастика;8.8
Дмитрий;Назад в будущее;фантастика;8.5
