text,style
"Как целостная система знаний о растениях ботаника
 оформилась к XVII—XVIII векам, хотя многие сведения
 о растениях были известны и первобытному человеку,
 так как жизнь его была связана с полезными, главным
 образом пищевыми, лекарственными и ядовитыми
 растениями. 
 Первыми книгами, в которых растения описывались не
 только в связи с их полезностью, были произведения
 греческих и других учёных-натуралистов.  Занимаясь
 растениями как частью природы, философы античного
 мира пытались определить их сущность и
 систематизировать их.",2
"
 Содержание
 Основные этапы развития ботаники
 Титульный лист книги Карла Линнея
 Systema Naturae («Система природы»,
 1735)
 До Аристотеля исследователи интересовались
 преимущественно лекарственными и хозяйственно-ценными свойствами растений.  Аристотель (384—322
 до н.  э.",2
") в пятой книге «Истории животных» (лат.  Historia
 Animalium) упомянул о своём «Учении о растениях»,
 которое сохранилось только в небольшом числе
 фрагментов.  Эти фрагменты были собраны и изданы в
 1838 году немецким ботаником Ф.",2
" Виммером.  Из них
 можно видеть, что Аристотель признавал существование
 двух царств в окружающем мире: неодушевлённую и
 живую природу.  Растения он относил к одушевлённой,
 живой природе.  По Аристотелю, растения обладают
 низшей ступенью развития души по сравнению с
 животными и человеком.  Аристотель отмечал в природе
 растений и животных некоторые общие свойства.",2
" Он
 писал, например, что в отношении некоторых обитателей
 моря трудно решить, растения это или животные. 
 Ученика Аристотеля Теофраста (371—286 до н.",2
" э. )
 называют «отцом ботаники».  Ботанические труды
 Теофраста можно рассматривать как свод в единую
 систему познаний практиков сельского хозяйства,
 медицины и работ учёных античного мира в этой
 области.",2
" Теофраст был основателем ботаники как
 самостоятельной науки: наряду с описанием применения
 растений в хозяйстве и медицине он рассматривал теоретические вопросы.  Влияние трудов
 Теофраста на последующее развитие ботаники в течение многих столетий было огромным, так
 как учёные Древнего мира не поднимались выше него ни в понимании природы растений, ни в
 описаниях их форм.  В соответствии с современным ему уровнем знаний отдельные положения
 Теофраста были наивны и не научны.  Учёные того времени ещё не имели высокой техники
 исследования, не было и научных экспериментов.",2
" Но при всём этом уровень знаний,
 достигнутый «отцом ботаники», был весьма значительным. 
 Римский натуралист Плиний Старший в своей «Естественной истории» привёл все известные
 его современникам сведения о природе; он упомянул около 1000 видов растений, описав их
 достаточно точно. 
 После общего упадка естествознания в Средние века ботаника начинает вновь интенсивно
 развиваться в Европе с XVI века.  Первоначально это коснулось лишь систематики и морфологии,
 но в XVII—XVIII веках возникают и формируются другие разделы ботаники, в частности,
 анатомия растений.",2
"
 Большим прорывом европейской науки в изучении растений стал объёмный, хорошо
 иллюстрированный, труд Франсиско Эрнандеса «История растений Новой Испании» (1570—
 1577),  выполненный по заказу Филиппа II.  В книгу вошли описания более 3000 растений и 500
 животных, существовавших на территории современной Мексики.",2
" В то же самое время, но
 несколько более краткую работу о растениях в своём фундаментальном произведении «Общая
 Генрих Иоганн Непомук фон Кранц. 
 
 В России в XV—XVII веках переводят с греческого,
 латинского и европейских языков и переписывают
 описания лекарственных растений. 
 Карл Линней (швед.",2
" Carl Linnaeus, Carl Linné) —
 известный шведский естествоиспытатель и врач,
 создатель единой системы классификации растительного
 и животного мира, обобщившей и в значительной
 степени упорядочившей биологические знания всего
 предыдущего периода, что ещё при жизни принесло ему
 всемирную известность.  В 1729 году Линней
 познакомился с Улофом Цельсием (1670—1756),
 профессором теологии, который был увлечённым ботаником.  Вскоре он поселился в доме
 Цельсия и получил доступ к его обширной библиотеке.",2
" В этом же году Линней написал
 небольшую работу «Введение в половую жизнь растений» (лат.  Praeludia sponsaliorum plantarum),
 в которой были изложены основные идеи его будущей классификации растений, основанной на
 половых признаках.",2
" Эта работа вызвала большой интерес в академических кругах Уппсалы.  С
 1730 года Линней под началом профессора Улофа Рудбека-младшего приступил к преподаванию
 как демонстратор в ботаническом саду университета.",2
" Лекции Линнея пользовались большим
 успехом.  В XVIII веке, положив в основу своей искусственной системы строение цветка, Линней
 разбил мир растений на 24 класса.  Система Линнея ненадолго пережила своего создателя, однако
 значение её в истории ботаники огромно.",2
" Одной из главных заслуг Линнея стало определение
 понятия биологического вида, внедрение в активное употребление биноминальной (бинарной)
 номенклатуры и установление чёткого соподчинения между систематическими
 (таксономическими) категориями. 
 Генрих Иоганн Непомук фон Кранц (нем.  Heinrich Johann Nepomuk Edler von Crantz —
 австрийский врач и ботаник, профессор Венского университета (стал доктором медицины в 1750
 году).  В 1769 году опубликовал Classis Cruciformium emendeta.",2
"
 XIX век ознаменовался интенсивным развитием естествознания в целом.  Бурное развитие
 получили и все отрасли ботаники.  Решающее влияние на систематику оказала эволюционная
 теория Ч.  Дарвина.",2
"
 Гибискус
 Характерные черты современного этапа развития ботаники — стирание граней между
 отдельными её отраслями и их интеграция.  Так, в систематике растений для характеристики
 отдельных таксонов всё шире применяют цитологические, анатомические, эмбриологические и
 биохимические методы.",2
" Разработка новых методов исследования, основанных на достижениях
 физики и химии, позволила решать задачи, недоступные ранее.  Так, в результате использования
 электронного микроскопа, разрешающая сила которого по сравнению с другими оптическими
 приборами возросла в сотни раз, были выявлены многие новые детали строения растительной
 клетки, что с успехом используется не только в анатомии, но и в систематике растений. 
 Ботаника охватывает широкий круг проблем: закономерности внешнего и внутреннего строения
 (морфология и анатомия) растений, их систематику, развитие в течение геологического времени
 (эволюция) и родственные связи (филогенез), особенности прошлого и современного
 распространения по земной поверхности (география растений), взаимоотношения со средой
 (экология растений), сложение растительного покрова (фитоценология, или геоботаника),
 возможности и пути хозяйственного использования растений (ботаническое ресурсоведение, или
 экономическая ботаника). 
 По объектам исследования в ботанике выделяют фикологию (альгологию) — науку о водорослях,
 микологию — о грибах, лихенологию — о лишайниках, бриологию — о мхах и др. ; изучение
 микроскопических организмов, преимущественно из мира растений (бактерий, актиномицетов,
 некоторых грибов и водорослей), выделяют в особую науку — микробиологию.",2
" Болезнями
 растений, вызываемыми вирусами, бактериями и грибами, занимается фитопатология. 
 Основная ботаническая дисциплина — систематика
 растений — разделяет многообразие растительного мира
 на соподчинённые друг другу естественные группы —
 таксоны (классификация), устанавливает рациональную
 систему их наименований (номенклатура) и выясняет
 родственные (эволюционные) взаимоотношения между
 ними (филогения).  В прошлом систематика
 основывалась на внешних морфологических признаках
 растений и их географическом распространении, теперь
 же систематики широко используют также признаки
 внутреннего строения растений, особенности строения
 растительных клеток, их хромосомного аппарата, а также
 химический состав и экологические особенности растений.",2
" Установление видового состава
 растений (флоры) какой-либо определённой территории обычно называется флористикой,
 выявление областей распространения (ареалов) отдельных видов, родов и семейств — хорологией
 (фитохорологией).  Изучение древесных и кустарниковых растений выделяют в особую
 дисциплину — дендрологию.",2
"
 В тесной связи с систематикой находится морфология растений, изучающая форму растений в
 процессе индивидуального (онтогенез) и исторического (филогенез) развития.  В узком смысле
 морфология изучает внешнюю форму растений и их частей, в более широком — включает
 Предмет исследований
 анатомию растений, изучающую их внутреннее строение, эмбриологию, исследующую
 образование и развитие зародыша, и цитологию, изучающую строение растительной клетки.",2
"
 Некоторые разделы морфологии растений выделяют в особые дисциплины в связи с их
 прикладным или теоретическим значением: органографию — описание частей и органов
 растений, палинологию — изучение пыльцы и спор растений, карпологию — описание и
 классификация плодов, тератологию — изучение аномалий и уродств (терат) в строении
 растений.  Различают сравнительную, эволюционную, экологическую морфологию растений. 
 Изучением растений в их взаимоотношении со средой обитания занимается ряд отраслей
 ботаники, иногда объединяемых под общим названием экология растений.",2
" В более узком смысле
 экология изучает влияние на растение среды обитания, а также разнообразные приспособления
 растений к особенностям этой среды.  На земной поверхности растения образуют определённые
 сообщества, или фитоценозы, повторяющиеся на более или менее значительных территориях
 (леса, степи, луга, саванны и т.  д. ).",2
" Исследованием этих сообществ занимается отрасль ботаники,
 называемая в России геоботаникой, или фитоценологией (за рубежом её часто называют
 фитосоциологией).  В зависимости от объекта исследования в геоботанике выделяют лесоведение,
 луговедение, тундроведение, болотоведение и т.  д.",2
" В более широком смысле геоботаника
 смыкается с учением об экосистемах, или с биогеоценологией, изучающей взаимоотношения
 между растительным покровом, животным миром, почвой и подстилающими почву горными
 породами.  Этот комплекс называется биогеоценозом. 
 Распространение отдельных видов растений на поверхности земного шара изучает география
 растений, а особенности распределения растительного покрова на Земле в зависимости от
 современных условий и исторического прошлого — ботаническая география.",2
